ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position,Position2,Date,
7001589,Zach Collins,CHI,DET,,6000,0,0,0,0,C,,12022025,
7001595,Jonathan Isaac,ORL,CHA,OUT OF GAME,7290,0,0,0,0,PF,C,12022025,
7001622,Maxi Kleber,LAL,UTA,OUT OF GAME,6000,0,0,0,0,PF,C,12022025,
7022298,Deandre Ayton,POR,DEN,OUT OF GAME,13230,0,0,0,0,C,,12022025,
7022302,Collin Sexton,UTA,LAL,OUT OF GAME,11240,0,0,0,0,SG,PG,12022025,
7022306,De'Anthony Melton,BKN,PHI,OUT OF GAME,8390,0,0,0,0,SG,SF,12022025,
7022307,Jevon Carter,CHI,DET,,6000,0,0,0,0,PG,SG,12022025,
7022311,Marvin Bagley,MEM,LAC,OUT OF GAME,6890,0,0,0,0,C,,12022025,
7022313,Josh Okogie,CHA,ORL,OUT OF GAME,9440,0,0,0,0,SG,,12022025,
7022321,Svi Mykhailiuk,UTA,LAL,,6790,0,0,0,0,SF,SG,12022025,
7022328,Grayson Allen,PHX,HOU,OUT OF GAME,10310,0,0,0,0,SG,SF,12022025,
7022331,Moritz Wagner,ORL,CHA,OUT OF GAME,8820,0,0,0,0,C,,12022025,
7022346,Donte DiVincenzo,MIN,MIL,OUT OF GAME,13400,0,0,0,0,SG,PG,12022025,
7022347,Mitchell Robinson,NYK,ATL,OUT OF GAME,6000,0,0,0,0,C,,12022025,
7022366,Duncan Robinson,MIA,OKC,OUT OF GAME,7430,0,0,0,0,SF,SG,12022025,
7022398,Jordan McLaughlin,SAS,BOS,,6000,0,0,0,0,PG,,12022025,
7022416,Drew Eubanks,LAC,MEM,OUT OF GAME,6000,0,0,0,0,C,,12022025,
7022447,Gabe Vincent,LAL,UTA,OUT OF GAME,7060,0,0,0,0,PG,SG,12022025,
7022498,Ty Jerome,CLE,TOR,GAME TIME DECISION,9530,0,0,0,0,SG,PG,12022025,
7022505,Daniel Gafford,DAL,GSW,OUT OF GAME,12370,0,0,0,0,C,,12022025,
7022511,Cam Reddish,LAL,UTA,OUT OF GAME,6000,0,0,0,0,SF,SG,12022025,
7022512,Talen Horton-Tucker,CHI,DET,,6000,0,0,0,0,SG,SF,12022025,
7022513,Chuma Okeke,PHI,BKN,,6000,0,0,0,0,PF,,12022025,
7022521,Cody Martin,PHX,HOU,OUT OF GAME,7760,0,0,0,0,SF,PF,12022025,
7022522,Grant Williams,CHA,ORL,OUT OF GAME,10150,0,0,0,0,PF,C,12022025,
7022523,Matisse Thybulle,POR,DEN,OUT OF GAME,6000,0,0,0,0,SG,SF,12022025,
7022546,Jaylen Nowell,WAS,IND,,6970,0,0,0,0,SG,,12022025,
7022564,Dean Wade,CLE,TOR,OUT OF GAME,6840,0,0,0,0,PF,SF,12022025,
7022571,John Konchar,MEM,LAC,,6000,0,0,0,0,SG,SF,12022025,
7022586,Caleb Martin,DAL,GSW,OUT OF GAME,9250,0,0,0,0,SF,PF,12022025,
7022610,Vlatko Cancar,DEN,POR,OUT OF GAME,6000,0,0,0,0,PF,,12022025,
7022678,Saddiq Bey,WAS,IND,OUT OF GAME,6000,0,0,0,0,SF,PF,12022025,
7022681,Tyrese Maxey,PHI,BKN,OUT OF GAME,18940,0,0,0,0,PG,,12022025,
7022683,Paul Reed,DET,CHI,,6000,0,0,0,0,C,,12022025,
7022687,Isaac Okoro,CLE,TOR,OUT OF GAME,6000,0,0,0,0,SG,SF,12022025,
7022706,Xavier Tillman,BOS,SAS,OUT OF GAME,6000,0,0,0,0,C,,12022025,
7022730,Trevelin Queen,ORL,CHA,,6000,0,0,0,0,SG,PG,12022025,
7022743,LaMelo Ball,CHA,ORL,OUT OF GAME,18540,0,0,0,0,PG,,12022025,
7022745,Vit Krejci,ATL,NYK,OUT OF GAME,8460,0,0,0,0,SG,SF,12022025,
7022746,KJ Martin,UTA,LAL,OUT OF GAME,6000,0,0,0,0,SF,PF,12022025,
7022749,Anthony Gill,WAS,IND,OUT OF GAME,6000,0,0,0,0,PF,,12022025,
7022760,Mason Jones,SAC,NOP,,6000,0,0,0,0,SG,,12022025,
7022800,Cam Thomas,BKN,PHI,OUT OF GAME,13710,0,0,0,0,SG,PG,12022025,
7022804,Charles Bassey,SAS,BOS,OUT OF GAME,6000,0,0,0,0,C,,12022025,
7022806,Jericho Sims,MIL,MIN,,6000,0,0,0,0,C,,12022025,
7022813,Luka Garza,MIN,MIL,,6000,0,0,0,0,C,,12022025,
7022817,Isaiah Jackson,IND,WAS,OUT OF GAME,7370,0,0,0,0,C,,12022025,
7022818,Chris Duarte,CHI,DET,,6000,0,0,0,0,SG,SF,12022025,
7022821,Jalen Suggs,ORL,CHA,OUT OF GAME,11850,0,0,0,0,SG,PG,12022025,
7022823,Jalen Johnson,ATL,NYK,OUT OF GAME,16760,0,0,0,0,PF,,12022025,
7022824,Kai Jones,LAC,MEM,,6000,0,0,0,0,C,,12022025,
7022825,JT Thor,CLE,TOR,OUT OF GAME,6000,0,0,0,0,PF,,12022025,
7022830,Brandon Boston,NOP,SAC,OUT OF GAME,7920,0,0,0,0,SG,PG,12022025,
7022833,Josh Christopher,MIA,OKC,,6000,0,0,0,0,SG,,12022025,
7022835,Herbert Jones,NOP,SAC,OUT OF GAME,9230,0,0,0,0,SF,SG,12022025,
7022843,Tre Mann,CHA,ORL,OUT OF GAME,9070,0,0,0,0,PG,SG,12022025,
7022852,Jonathan Kuminga,GSW,DAL,OUT OF GAME,14500,0,0,0,0,PF,SF,12022025,
7022859,Jock Landale,HOU,PHX,,6220,0,0,0,0,C,,12022025,
7022873,Mac McClung,ORL,CHA,OUT OF GAME,6000,0,0,0,0,SG,,12022025,
7022874,Jay Huff,MEM,LAC,,6000,0,0,0,0,C,,12022025,
7022878,A.J. Lawson,TOR,CLE,OUT OF GAME,6000,0,0,0,0,SG,,12022025,
7022886,Daishen Nix,SAC,NOP,,6000,0,0,0,0,PG,,12022025,
7022889,Ethan Thompson,ORL,CHA,OUT OF GAME,6000,0,0,0,0,SG,,12022025,
7022898,Dru Smith,MIA,OKC,OUT OF GAME,7410,0,0,0,0,SG,,12022025,
7022900,David Duke,SAS,BOS,OUT OF GAME,6000,0,0,0,0,SG,,12022025,
7022912,Matt Ryan,NYK,ATL,,6000,0,0,0,0,SF,,12022025,
7022938,Brandon Williams,DAL,GSW,,6000,0,0,0,0,PG,,12022025,
7022946,Lindy Waters,DET,CHI,,6000,0,0,0,0,SG,,12022025,
7022948,Scoot Henderson,POR,DEN,OUT OF GAME,10010,0,0,0,0,PG,,12022025,
7022949,Jaden Hardy,DAL,GSW,,6000,0,0,0,0,SG,PG,12022025,
7022950,MarJon Beauchamp,LAC,MEM,,6000,0,0,0,0,SF,SG,12022025,
7022953,Ron Harper,DET,CHI,,6000,0,0,0,0,SF,,12022025,
7022963,Collin Gillespie,PHX,HOU,,6000,0,0,0,0,PG,,12022025,
7022975,JD Davison,BOS,SAS,OUT OF GAME,6000,0,0,0,0,PG,,12022025,
7022976,Christian Koloko,LAL,UTA,,6000,0,0,0,0,C,,12022025,
7022981,Johnny Davis,MEM,LAC,OUT OF GAME,6000,0,0,0,0,SG,PG,12022025,
7022986,Moussa Diabate,CHA,ORL,OUT OF GAME,10390,0,0,0,0,C,,12022025,
7022988,Jaden Ivey,DET,CHI,OUT OF GAME,11730,0,0,0,0,SG,,12022025,
7022989,Dalen Terry,CHI,DET,,6000,0,0,0,0,SF,,12022025,
7022999,David Roddy,PHI,BKN,OUT OF GAME,6000,0,0,0,0,PF,SF,12022025,
7023003,E.J. Liddell,CHI,DET,,6000,0,0,0,0,PF,,12022025,
7023005,Jabari Smith,HOU,PHX,OUT OF GAME,10360,0,0,0,0,PF,,12022025,
7023008,Blake Wesley,SAS,BOS,,6000,0,0,0,0,SG,,12022025,
7023010,Malaki Branham,SAS,BOS,,6000,0,0,0,0,SG,PG,12022025,
7023011,Bryce McGowens,POR,DEN,GAME TIME DECISION,6000,0,0,0,0,SG,SF,12022025,
7023012,Mark Williams,CHA,ORL,OUT OF GAME,15420,0,0,0,0,C,,12022025,
7023016,Peyton Watson,DEN,POR,OUT OF GAME,7100,0,0,0,0,PF,SF,12022025,
7023020,Ousmane Dieng,OKC,MIA,OUT OF GAME,6000,0,0,0,0,SF,,12022025,
7023021,Chet Holmgren,OKC,MIA,OUT OF GAME,14480,0,0,0,0,PF,C,12022025,
7023024,Josh Minott,MIN,MIL,,6000,0,0,0,0,SF,,12022025,
7023025,Wendell Moore,DET,CHI,OUT OF GAME,6000,0,0,0,0,SG,SF,12022025,
7023027,Jabari Walker,POR,DEN,,6000,0,0,0,0,PF,C,12022025,
7023028,Luke Travers,CLE,TOR,,6000,0,0,0,0,SG,,12022025,
7023044,Pat Spencer,GSW,DAL,,6000,0,0,0,0,PG,,12022025,
7023053,Daeqwon Plowden,ATL,NYK,OUT OF GAME,6220,0,0,0,0,SG,,12022025,
7023060,Quenton Jackson,IND,WAS,OUT OF GAME,6000,0,0,0,0,PG,SG,12022025,
7023061,Keaton Wallace,ATL,NYK,,6000,0,0,0,0,PG,,12022025,
7023073,Stanley Umude,MIL,MIN,,6000,0,0,0,0,SG,,12022025,
7023075,Jamal Cain,NOP,SAC,OUT OF GAME,6000,0,0,0,0,SF,,12022025,
7023080,Nate Williams,HOU,PHX,,6000,0,0,0,0,SG,,12022025,
7023094,Leonard Miller,MIN,MIL,,6000,0,0,0,0,SF,,12022025,
7023095,Sidy Cissoko,POR,DEN,,6000,0,0,0,0,SF,,12022025,
7023097,Justin Minaya,POR,DEN,GAME TIME DECISION,6000,0,0,0,0,SF,,12022025,
7023099,Dariq Whitehead,BKN,PHI,,6000,0,0,0,0,SF,,12022025,
7023100,Noah Clowney,BKN,PHI,OUT OF GAME,7300,0,0,0,0,PF,,12022025,
7023103,Marcus Sasser,DET,CHI,,6000,0,0,0,0,PG,,12022025,
7023105,Jarace Walker,IND,WAS,OUT OF GAME,6000,0,0,0,0,PF,,12022025,
7023106,Kobe Bufkin,ATL,NYK,OUT OF GAME,6000,0,0,0,0,SG,,12022025,
7023107,Brandon Miller,CHA,ORL,OUT OF GAME,14010,0,0,0,0,SF,SG,12022025,
